trial_type,correct_target,trial_path,source_path,target1_path,target2_path,s1_ind,s1_shape,s1_color,s1_size,s1_path,s2_ind,s2_shape,s2_color,s2_size,s2_path,t1_1_ind,t1_1_shape,t1_1_color,t1_1_size,t1_1_path,t1_2_ind,t1_2_shape,t1_2_color,t1_2_size,t1_2_path,t2_1_ind,t2_1_shape,t2_1_color,t2_1_size,t2_1_path,t2_2_ind,t2_2_shape,t2_2_color,t2_2_size,t2_2_path
sameShape,2.0,data/RMTS/trial0/trial.png,data/RMTS/trial0/source_pair.png,data/RMTS/trial0/target1_pair.png,data/RMTS/trial0/target2_pair.png,0.0,triangle,red,small,data/RMTS/trial0/source1.png,0.0,triangle,red,small,data/RMTS/trial0/source2.png,32.0,heart,saddlebrown,small,data/RMTS/trial0/target1_1.png,44.0,cross,saddlebrown,small,data/RMTS/trial0/target1_2.png,52.0,circle,blue,small,data/RMTS/trial0/target2_1.png,52.0,circle,blue,small,data/RMTS/trial0/target2_2.png
sameShape,2.0,data/RMTS/trial1/trial.png,data/RMTS/trial1/source_pair.png,data/RMTS/trial1/target1_pair.png,data/RMTS/trial1/target2_pair.png,1.0,triangle,red,large,data/RMTS/trial1/source1.png,1.0,triangle,red,large,data/RMTS/trial1/source2.png,30.0,heart,purple,small,data/RMTS/trial1/target1_1.png,6.0,triangle,purple,small,data/RMTS/trial1/target1_2.png,66.0,square,purple,small,data/RMTS/trial1/target2_1.png,66.0,square,purple,small,data/RMTS/trial1/target2_2.png
sameShape,2.0,data/RMTS/trial2/trial.png,data/RMTS/trial2/source_pair.png,data/RMTS/trial2/target1_pair.png,data/RMTS/trial2/target2_pair.png,2.0,triangle,green,small,data/RMTS/trial2/source1.png,2.0,triangle,green,small,data/RMTS/trial2/source2.png,46.0,cross,black,small,data/RMTS/trial2/target1_1.png,58.0,circle,black,small,data/RMTS/trial2/target1_2.png,64.0,square,blue,small,data/RMTS/trial2/target2_1.png,64.0,square,blue,small,data/RMTS/trial2/target2_2.png
sameShape,2.0,data/RMTS/trial3/trial.png,data/RMTS/trial3/source_pair.png,data/RMTS/trial3/target1_pair.png,data/RMTS/trial3/target2_pair.png,3.0,triangle,green,large,data/RMTS/trial3/source1.png,3.0,triangle,green,large,data/RMTS/trial3/source2.png,10.0,triangle,black,small,data/RMTS/trial3/target1_1.png,34.0,heart,black,small,data/RMTS/trial3/target1_2.png,56.0,circle,saddlebrown,small,data/RMTS/trial3/target2_1.png,56.0,circle,saddlebrown,small,data/RMTS/trial3/target2_2.png
sameShape,1.0,data/RMTS/trial4/trial.png,data/RMTS/trial4/source_pair.png,data/RMTS/trial4/target1_pair.png,data/RMTS/trial4/target2_pair.png,4.0,triangle,blue,small,data/RMTS/trial4/source1.png,4.0,triangle,blue,small,data/RMTS/trial4/source2.png,61.0,square,red,large,data/RMTS/trial4/target1_1.png,61.0,square,red,large,data/RMTS/trial4/target1_2.png,9.0,triangle,saddlebrown,large,data/RMTS/trial4/target2_1.png,21.0,star,saddlebrown,large,data/RMTS/trial4/target2_2.png
sameShape,1.0,data/RMTS/trial5/trial.png,data/RMTS/trial5/source_pair.png,data/RMTS/trial5/target1_pair.png,data/RMTS/trial5/target2_pair.png,5.0,triangle,blue,large,data/RMTS/trial5/source1.png,5.0,triangle,blue,large,data/RMTS/trial5/source2.png,69.0,square,saddlebrown,large,data/RMTS/trial5/target1_1.png,69.0,square,saddlebrown,large,data/RMTS/trial5/target1_2.png,24.0,heart,red,small,data/RMTS/trial5/target2_1.png,36.0,cross,red,small,data/RMTS/trial5/target2_2.png
sameShape,2.0,data/RMTS/trial6/trial.png,data/RMTS/trial6/source_pair.png,data/RMTS/trial6/target1_pair.png,data/RMTS/trial6/target2_pair.png,6.0,triangle,purple,small,data/RMTS/trial6/source1.png,6.0,triangle,purple,small,data/RMTS/trial6/source2.png,5.0,triangle,blue,large,data/RMTS/trial6/target1_1.png,41.0,cross,blue,large,data/RMTS/trial6/target1_2.png,15.0,star,green,large,data/RMTS/trial6/target2_1.png,15.0,star,green,large,data/RMTS/trial6/target2_2.png
sameShape,1.0,data/RMTS/trial7/trial.png,data/RMTS/trial7/source_pair.png,data/RMTS/trial7/target1_pair.png,data/RMTS/trial7/target2_pair.png,7.0,triangle,purple,large,data/RMTS/trial7/source1.png,7.0,triangle,purple,large,data/RMTS/trial7/source2.png,45.0,cross,saddlebrown,large,data/RMTS/trial7/target1_1.png,45.0,cross,saddlebrown,large,data/RMTS/trial7/target1_2.png,66.0,square,purple,small,data/RMTS/trial7/target2_1.png,6.0,triangle,purple,small,data/RMTS/trial7/target2_2.png
sameShape,2.0,data/RMTS/trial8/trial.png,data/RMTS/trial8/source_pair.png,data/RMTS/trial8/target1_pair.png,data/RMTS/trial8/target2_pair.png,8.0,triangle,saddlebrown,small,data/RMTS/trial8/source1.png,8.0,triangle,saddlebrown,small,data/RMTS/trial8/source2.png,54.0,circle,purple,small,data/RMTS/trial8/target1_1.png,6.0,triangle,purple,small,data/RMTS/trial8/target1_2.png,28.0,heart,blue,small,data/RMTS/trial8/target2_1.png,28.0,heart,blue,small,data/RMTS/trial8/target2_2.png
sameShape,2.0,data/RMTS/trial9/trial.png,data/RMTS/trial9/source_pair.png,data/RMTS/trial9/target1_pair.png,data/RMTS/trial9/target2_pair.png,9.0,triangle,saddlebrown,large,data/RMTS/trial9/source1.png,9.0,triangle,saddlebrown,large,data/RMTS/trial9/source2.png,64.0,square,blue,small,data/RMTS/trial9/target1_1.png,40.0,cross,blue,small,data/RMTS/trial9/target1_2.png,63.0,square,green,large,data/RMTS/trial9/target2_1.png,63.0,square,green,large,data/RMTS/trial9/target2_2.png
